Animaux | Chat, Chien, Lapin, Hamster, Cochon d'Inde, Perruche, Poisson rouge, Tortue, Furet
Littérature | Roman, Nouvelle, Poème, Pièce de théâtre, Essai, Biographie, Conte, Fable, Bande dessinée, Manga, Recueil, Épopée
Presse | Journal, Magazine, Revue, Quotidien, Hebdomadaire, Gazette, Éditorial, Interview, Reportage, Chronique, Petites annonces
Couleurs | Rouge, Bleu, Vert, Jaune, Orange, Violet, Rose, Marron, Gris, Noir, Blanc, Turquoise, Beige, Bordeaux, Kaki, Indigo
Formes | Cercle, Carré, Triangle, Rectangle, Losange, Ovale, Étoile, Hexagone, Cube, Sphère, Pyramide, Cylindre, Cône, Spirale
Matériaux | Bois, Métal, Plastique, Verre, Béton, Tissu, Cuir, Caoutchouc, Carton, Papier, Marbre, Céramique, Laine, Soie, Velours, Lin
Mesures | Mètre, Kilomètre, Centimètre, Litre, Gramme, Kilo, Tonne, Hectare, Degré, Watt, Volt, Nœud, Mille marin
Mathématiques | Addition, Soustraction, Multiplication, Division, Fraction, Pourcentage, Équation, Racine carrée, Géométrie, Statistique, Probabilité, Moyenne
Pharmacie | Sirop, Comprimé, Gélule, Pommade, Pansement, Seringue, Thermomètre, Vitamine, Antibiotique, Aspirine, Collyre, Attelle
Hôpital | Urgences, Bloc opératoire, Brancard, Perfusion, Radiographie, Ordonnance, Salle d'attente, Anesthésie, Scanner, Plâtre, Stéthoscope, Blouse blanche
Police | Menottes, Sirène, Uniforme, Badge, Interrogatoire, Cellule, Enquête, Patrouille, Radar, Empreinte, Portrait-robot, Mandat
Justice | Procès, Verdict, Témoin, Jury, Plaidoirie, Preuve, Sentence, Appel, Serment, Barreau, Audience, Acquittement
Armée | Soldat, Général, Capitaine, Sergent, Colonel, Lieutenant, Caporal, Amiral, Commandant, Recrue, Déserteur, Sentinelle
Noblesse | Roi, Reine, Prince, Princesse, Duc, Comte, Baron, Chevalier, Empereur, Marquis, Vicomte, Régent, Dauphin
Religion | Église, Mosquée, Synagogue, Temple, Monastère, Chapelle, Abbaye, Basilique, Cloître, Pagode, Sanctuaire, Crypte
Aéroport | Billet, Passeport, Valise, Douane, Embarquement, Décollage, Atterrissage, Hublot, Tapis à bagages, Escale, Piste, Tour de contrôle, Turbulence
Hôtel | Réception, Chambre, Clé magnétique, Petit-déjeuner, Piscine, Spa, Concierge, Room service, Suite, Minibar, Ascenseur, Femme de chambre
Restaurant | Menu, Carte, Addition, Pourboire, Entrée, Plat, Dessert, Apéritif, Digestif, Réservation, Nappe, Chef, Terrasse, Ardoise
Banque | Compte, Carte bancaire, Chèque, Distributeur, Crédit, Coffre-fort, Guichet, Découvert, Virement, Relevé, Épargne, Intérêts
Poste | Lettre, Colis, Timbre, Enveloppe, Boîte aux lettres, Recommandé, Carte postale, Affranchissement, Tri, Tournée
Moyen Âge | Château fort, Douves, Donjon, Catapulte, Armure, Épée, Bouclier, Arbalète, Tournoi, Pont-levis, Herse, Meurtrière, Heaume, Lance
Égypte antique | Pyramide, Sphinx, Momie, Hiéroglyphe, Pharaon, Sarcophage, Scarabée, Papyrus, Obélisque, Temple, Nil, Sceptre
Préhistoire | Dinosaure, Mammouth, Silex, Grotte, Massue, Tigre à dents de sabre, Homme des cavernes, Peinture rupestre, Feu, Biface, Dolmen, Menhir
Far West | Shérif, Saloon, Duel, Diligence, Lasso, Éperon, Rodéo, Ranch, Chercheur d'or, Hors-la-loi, Colt, Étoile de shérif
Pirates | Trésor, Carte au trésor, Perroquet, Jambe de bois, Drapeau noir, Abordage, Boussole, Île déserte, Cache-œil, Sabre, Galion, Planche, Cale, Mousse
Espace | Astronaute, Fusée, Navette, Satellite, Station spatiale, Combinaison spatiale, Rover, Apesanteur, Cosmonaute, Module, Rampe de lancement, Sas
Écologie | Recyclage, Compost, Panneau solaire, Éolienne, Tri sélectif, Pollution, Déforestation, Réchauffement, Covoiturage, Zéro déchet, Biodiversité, Empreinte carbone
Énergie | Électricité, Gaz, Pétrole, Charbon, Nucléaire, Solaire, Éolien, Hydraulique, Géothermie, Biomasse, Batterie, Hydrogène
Informatique | Logiciel, Application, Navigateur, Système d'exploitation, Base de données, Serveur, Fichier, Dossier, Raccourci, Sauvegarde, Pare-feu, Algorithme
Caractère | Timide, Bavard, Généreux, Radin, Curieux, Têtu, Patient, Colérique, Drôle, Rêveur, Maladroit, Perfectionniste, Gourmand, Distrait
Mariage | Robe de mariée, Alliance, Témoin, Discours, Pièce montée, Bouquet, Lune de miel, Demoiselle d'honneur, Faire-part, Première danse, Riz, Voile
Superstition | Trèfle à quatre feuilles, Fer à cheval, Chat noir, Échelle, Miroir brisé, Étoile filante, Patte de lapin, Vendredi 13, Sel renversé, Toucher du bois
Table | Nappe, Serviette, Carafe, Salière, Poivrier, Chandelier, Sous-plat, Corbeille à pain, Set de table, Tire-bouchon, Décapsuleur
Métiers anciens | Forgeron, Tonnelier, Cordonnier, Tailleur, Meunier, Charron, Maréchal-ferrant, Verrier, Potier, Tisserand, Horloger, Relieur
Bureau | Imprimante, Photocopieuse, Classeur, Tampon, Post-it, Corbeille, Chemise cartonnée, Machine à café, Salle de réunion, Badge, Open space
Cheveux | Blond, Brun, Roux, Châtain, Gris, Chauve, Frisé, Raide, Ondulé, Coloré
Bijouterie | Or, Argent, Platine, Diamant, Perle, Rubis, Saphir, Émeraude, Améthyste, Topaze, Jade, Opale
Sensations | Chaud, Froid, Tiède, Brûlant, Glacé, Humide, Sec, Doux, Rugueux, Piquant, Collant, Glissant
Goûts | Sucré, Salé, Amer, Acide, Épicé, Fade, Aigre, Fumé, Umami, Poivré
Sons | Sifflement, Grincement, Claquement, Bourdonnement, Tic-tac, Sonnerie, Applaudissement, Tonnerre, Craquement, Clapotis
Lieux | Supermarché, Épicerie, Boulangerie, Boucherie, Pharmacie, Librairie, Fleuriste, Quincaillerie, Poissonnerie, Crémerie, Tabac, Opticien, Bijouterie, Animalerie, Droguerie
Lieux | Restaurant, Bar, Café, Boîte de nuit, Cinéma, Théâtre, Opéra, Casino, Brasserie, Pub, Salle de concert, Bowling, Karaoké, Guinguette
Lieux | Hôpital, École, Université, Mairie, Commissariat, Prison, Tribunal, Caserne, Ambassade, Préfecture, Poste, Crèche, Collège, Lycée
Lieux | Plage, Piscine, Parc, Jardin, Zoo, Aquarium, Fête foraine, Parc d'attractions, Patinoire, Bois, Aire de jeux, Skatepark, Terrain de sport
Lieux | Cuisine, Salon, Chambre, Salle de bain, Garage, Grenier, Véranda, Couloir, Buanderie, Dressing, Bureau, Salle à manger, Cellier, Sous-sol
Lieux | Forêt, Jungle, Désert, Savane, Montagne, Colline, Vallée, Plaine, Marais, Toundra, Prairie, Canyon, Plateau, Clairière, Gorge
Lieux | Mer, Océan, Lac, Rivière, Fleuve, Étang, Cascade, Torrent, Ruisseau, Canal, Delta, Estuaire, Source, Geyser, Rapides
Métiers | Médecin, Infirmier, Chirurgien, Dentiste, Pharmacien, Vétérinaire, Kinésithérapeute, Sage-femme, Radiologue, Ophtalmologue, Psychiatre, Orthophoniste, Podologue, Anesthésiste
Métiers | Cuisinier, Pâtissier, Boulanger, Boucher, Serveur, Barman, Sommelier, Traiteur, Chocolatier, Fromager, Glacier, Pizzaiolo, Plongeur, Maître d'hôtel
Métiers | Maçon, Menuisier, Plombier, Électricien, Peintre en bâtiment, Couvreur, Carreleur, Architecte, Grutier, Charpentier, Serrurier, Vitrier, Terrassier, Géomètre
Métiers | Acteur, Chanteur, Danseur, Sculpteur, Écrivain, Photographe, Réalisateur, Illustrateur, Humoriste, Compositeur, Chorégraphe, Graphiste, Céramiste, Calligraphe
Métiers | Pilote, Chauffeur, Conducteur, Marin, Steward, Contrôleur, Livreur, Facteur, Aiguilleur, Cheminot, Routier, Batelier, Coursier, Déménageur
Métiers | Agriculteur, Éleveur, Jardinier, Fleuriste, Pêcheur, Bûcheron, Berger, Vigneron, Apiculteur, Ostréiculteur, Forestier, Maraîcher, Sylviculteur
Métiers | Comptable, Secrétaire, Banquier, Informaticien, Commercial, Consultant, Journaliste, Traducteur, Assureur, Recruteur, Statisticien, Analyste
Nature | Pluie, Neige, Grêle, Brouillard, Orage, Tempête, Vent, Canicule, Verglas, Bruine, Rosée, Givre, Averse, Mousson, Blizzard, Sécheresse
Nature | Chêne, Sapin, Bouleau, Saule, Peuplier, Platane, Olivier, Palmier, Érable, Cyprès, Hêtre, Frêne, Marronnier, Tilleul, Baobab, Séquoia
Nature | Rose, Tulipe, Marguerite, Tournesol, Orchidée, Lilas, Pivoine, Jonquille, Coquelicot, Muguet, Violette, Iris, Lavande, Hortensia, Camélia, Dahlia
Fiction | Vampire, Zombie, Loup-garou, Fantôme, Momie, Squelette, Ogre, Troll, Croque-mitaine, Golem, Goule, Spectre, Banshee, Gargouille
Fiction | Dragon, Licorne, Sirène, Phénix, Griffon, Centaure, Minotaure, Yéti, Kraken, Chimère, Hydre, Cyclope, Basilic, Pégase, Sphinx
Fiction | Super-héros, Chevalier, Samouraï, Ninja, Pirate, Cow-boy, Gladiateur, Mousquetaire, Viking, Spartiate, Légionnaire, Croisé, Corsaire, Barbare
Numérique | Instagram, TikTok, Snapchat, Facebook, Twitter, LinkedIn, Pinterest, Discord, Reddit, WhatsApp, Telegram, BeReal, Twitch, YouTube
Numérique | Ordinateur, Tablette, Téléphone, Console, Clavier, Souris, Écran, Imprimante, Casque, Webcam, Enceinte, Disque dur, Clé USB, Chargeur, Routeur, Montre connectée
Corps | Œil, Nez, Bouche, Oreille, Sourcil, Menton, Joue, Front, Lèvre, Langue, Dent, Cil, Fossette, Narine, Mâchoire
Corps | Bras, Jambe, Main, Pied, Doigt, Orteil, Coude, Genou, Épaule, Cheville, Poignet, Hanche, Talon, Mollet, Cuisse, Nuque, Dos, Ventre
Concepts | Joie, Tristesse, Colère, Peur, Jalousie, Honte, Fierté, Surprise, Dégoût, Ennui, Nostalgie, Soulagement, Impatience, Gratitude, Culpabilité, Espoir
Concepts | Amour, Amitié, Rivalité, Confiance, Trahison, Réconciliation, Rupture, Complicité, Séduction, Coup de foudre, Jalousie, Fidélité, Dispute
Événements | Noël, Pâques, Halloween, Nouvel An, Carnaval, Saint-Valentin, Anniversaire, Mariage, Poisson d'avril, Fête des mères, Fête de la musique, 14 Juillet, Thanksgiving, Épiphanie, Chandeleur
Événements | Concert, Festival, Spectacle, Match, Exposition, Conférence, Salon, Vernissage, Avant-première, Compétition, Tournoi, Défilé de mode
École | Mathématiques, Histoire, Géographie, Physique, Chimie, Biologie, Philosophie, Anglais, Sport, Musique, Arts plastiques, Technologie, Économie, Latin, Informatique
École | Récréation, Cantine, Devoirs, Contrôle, Rentrée, Vacances, Conseil de classe, Colle, Bulletin, Sortie scolaire, Exposé, Brevet, Baccalauréat, Internat
Maison | Porte, Fenêtre, Volet, Rideau, Escalier, Balcon, Terrasse, Toit, Cheminée, Portail, Véranda, Mezzanine, Lucarne, Gouttière, Palier, Perron
Maison | Tapis, Coussin, Couverture, Oreiller, Drap, Couette, Matelas, Édredon, Plaid, Traversin, Housse, Descente de lit
Sport | Natation, Plongée, Surf, Kitesurf, Aviron, Voile, Paddle, Plongeon, Nage synchronisée, Rafting, Canyoning, Ski nautique, Apnée, Bodyboard
Sport | Marathon, Sprint, Saut en longueur, Saut à la perche, Lancer de poids, Haies, Javelot, Triathlon, Décathlon, Cross, Marche athlétique, Relais, Saut en hauteur, Disque
Sport | Escalade, Randonnée, Spéléologie, Alpinisme, Via ferrata, Parapente, Saut à l'élastique, Course d'orientation, Trail, Slackline, Wingsuit
Transport | Train, Métro, Tramway, TGV, Téléphérique, Funiculaire, Monorail, RER, Train à vapeur, Wagon, Locomotive, Quai
Objets | Sac à dos, Valise, Cartable, Sacoche, Portefeuille, Trousse, Panier, Coffre, Besace, Pochette, Malle, Sac banane, Porte-monnaie, Cabas
Objets | Livre, Magazine, Journal, Bande dessinée, Roman, Dictionnaire, Cahier, Agenda, Carnet, Album photo, Atlas, Encyclopédie, Guide de voyage, Recueil
Objets | Lampe, Bougie, Lampadaire, Torche, Néon, Lustre, Guirlande, Veilleuse, Applique, Chandelier, Lanterne, Spot
Objets | Clé, Cadenas, Serrure, Verrou, Chaîne, Menottes, Coffre-fort, Digicode, Alarme, Badge, Trousseau, Loquet
Objets | Balai, Serpillière, Éponge, Chiffon, Plumeau, Seau, Balayette, Pelle à poussière, Gant de ménage, Produit vaisselle, Lingette, Bassine
Boisson | Mojito, Piña colada, Margarita, Spritz, Sangria, Punch, Cosmopolitan, Bloody Mary, Caïpirinha, Daiquiri, Kir, Cuba libre, Gin tonic, Mimosa
Nourriture | Camembert, Roquefort, Comté, Brie, Mozzarella, Parmesan, Gruyère, Feta, Reblochon, Chèvre, Bleu, Emmental, Cheddar, Ricotta, Mascarpone
Nourriture | Sushi, Paella, Couscous, Ramen, Chili, Tajine, Falafel, Dim sum, Pad thaï, Fish and chips, Goulash, Moussaka, Bibimbap, Ceviche, Empanada, Poke bowl
Nourriture | Bonbon, Chewing-gum, Sucette, Caramel, Nougat, Réglisse, Guimauve, Praline, Dragée, Berlingot, Calisson, Bêtise, Fraise Tagada, Carambar
Nourriture | Burger, Frites, Hot-dog, Pizza, Kebab, Tacos, Nuggets, Sandwich, Wrap, Croque-monsieur, Panini, Hamburger, Bagel, Quesadilla, Club sandwich
Animaux | Escargot, Limace, Ver de terre, Chenille, Mille-pattes, Araignée, Scorpion, Tique, Cloporte, Perce-oreille, Mante religieuse, Scarabée, Hanneton, Bousier
Animaux | Souris, Rat, Castor, Marmotte, Taupe, Belette, Loutre, Hermine, Ragondin, Musaraigne, Campagnol, Chauve-souris
Famille | Père, Mère, Frère, Sœur, Grand-père, Grand-mère, Oncle, Tante, Cousin, Neveu, Nièce, Filleul, Beau-frère, Belle-mère, Parrain, Jumeau
Entourage | Voisin, Ami, Collègue, Inconnu, Camarade, Copain, Connaissance, Confident, Rival, Complice
Bébés animaux | Chiot, Chaton, Poulain, Veau, Agneau, Poussin, Faon, Ourson, Louveteau, Éléphanteau, Caneton, Chevreau, Porcelet, Girafon
Cris d'animaux | Aboyer, Miauler, Hennir, Meugler, Bêler, Grogner, Rugir, Hurler, Croasser, Siffler, Caqueter, Braire, Barrir, Coasser
Habitats animaux | Nid, Terrier, Ruche, Tanière, Fourmilière, Toile d'araignée, Étable, Niche, Cage, Clapier, Poulailler, Aquarium
Dinosaures | Tyrannosaure, Diplodocus, Tricératops, Vélociraptor, Stégosaure, Ptérodactyle, Brachiosaure, Ankylosaure, Spinosaure
Races de chiens | Labrador, Berger allemand, Caniche, Bouledogue, Chihuahua, Golden retriever, Husky, Beagle, Dalmatien, Teckel, Border collie, Rottweiler
Races de chats | Siamois, Persan, Maine coon, Sphynx, Bengal, Chartreux, Angora, Birman, Ragdoll
Champignons | Cèpe, Girolle, Morille, Truffe, Champignon de Paris, Pleurote, Amanite, Bolet, Chanterelle, Shiitaké
Céréales | Blé, Maïs, Orge, Avoine, Seigle, Riz, Millet, Sarrasin, Épeautre, Quinoa
Arbres fruitiers | Pommier, Poirier, Cerisier, Prunier, Abricotier, Oranger, Figuier, Amandier, Noyer, Olivier, Citronnier, Pêcher
Plantes d'intérieur | Cactus, Ficus, Monstera, Orchidée, Aloe vera, Yucca, Bonsaï, Fougère, Philodendron, Plante araignée
Cuisson | Bouillir, Frire, Griller, Rôtir, Mijoter, Cuire à la vapeur, Braiser, Poêler, Fumer, Mariner, Flamber, Gratiner, Pocher, Confire
Couture | Aiguille, Fil, Dé à coudre, Machine à coudre, Patron, Épingle, Ourlet, Bouton, Fermeture éclair, Ciseaux de couture, Mètre ruban, Bobine, Tricot, Crochet
Peinture | Pinceau, Palette, Chevalet, Toile, Aquarelle, Gouache, Fusain, Pastel, Vernis, Acrylique, Spatule, Esquisse
Photographie | Objectif, Flash, Trépied, Pellicule, Mise au point, Zoom, Obturateur, Filtre, Cadrage, Retouche, Studio, Négatif
Parfumerie | Eau de toilette, Flacon, Vaporisateur, Fragrance, Musc, Vanille, Bergamote, Santal, Patchouli, Ambre
Bien-être | Sauna, Hammam, Jacuzzi, Massage, Gommage, Bain de boue, Réflexologie, Méditation, Sophrologie, Acupuncture
Coiffure | Sèche-cheveux, Lisseur, Boucleur, Shampoing, Tondeuse, Bigoudi, Laque, Brushing, Mèche, Balayage, Peigne, Bac à shampoing
Dentiste | Fraise, Plombage, Bridge, Appareil dentaire, Détartrage, Carie, Couronne, Implant, Gouttière, Roulette
Optique | Lunettes, Lentilles de contact, Monture, Verres, Étui, Loupe, Jumelles, Microscope, Lunettes de soleil, Binocle
Premiers secours | Bouche-à-bouche, Massage cardiaque, Garrot, Attelle, Défibrillateur, Compresse, Bandage, Écharpe, Couverture de survie
Administratif | Formulaire, Justificatif, Attestation, Carte d'identité, Passeport, Permis de conduire, Acte de naissance, Facture, Contrat, Procuration, Certificat
Impôts | Déclaration, Amende, Contravention, Remboursement, Allocation, Cotisation, Prélèvement, Redressement, Exonération
Immobilier | Loyer, Caution, Bail, Agence, Visite, État des lieux, Charges, Syndic, Copropriété, Hypothèque, Notaire, Diagnostic
Assurance | Sinistre, Franchise, Expert, Indemnisation, Prime, Constat, Garantie, Résiliation, Bonus, Malus
Commerce | Soldes, Promotion, Réduction, Ticket de caisse, Caddie, Caisse, Rayon, Code-barres, Carte de fidélité, Vitrine, Étiquette, Inventaire
Livraison | Colis, Suivi, Point relais, Retour, Emballage, Bon de commande, Transporteur, Accusé de réception, Frais de port
Marché | Étal, Primeur, Balance, Cageot, Marchand, Crieur, Halle, Panier en osier, Monnaie
Vacances | Bagage, Réservation, Guide touristique, Excursion, Souvenir, Carte postale, Décalage horaire, Farniente, Itinéraire, Visa, Location
Croisière | Cabine, Pont supérieur, Buffet, Escale, Capitaine, Bouée de sauvetage, Transat, Passerelle, Sirène de brume
Sports d'hiver | Remontée mécanique, Télésiège, Piste noire, Forfait, Moniteur, Chalet, Après-ski, Hors-piste, Poudreuse, Tire-fesses, Anorak
Randonnée | Sentier, Balise, Refuge, Bâtons de marche, Carte IGN, Dénivelé, Boussole, Gourde, Ampoule, Bivouac
Fête de village | Bal, Feu d'artifice, Buvette, Tombola, Fanfare, Brocante, Concours de pétanque, Barbecue, Guinguette, Lampion
Brocante | Antiquité, Enchère, Vide-grenier, Marchandage, Bibelot, Chineur, Lot, Estimation, Commode ancienne
Noël | Sapin, Guirlande, Boule de Noël, Crèche, Père Noël, Traîneau, Renne, Bûche, Chaussette, Marché de Noël, Papillote, Santon
Halloween | Citrouille, Déguisement, Bonbons, Toile d'araignée, Cimetière, Chauve-souris, Costume, Épouvante, Maison hantée, Sorcière
Nouvel An | Compte à rebours, Confettis, Serpentin, Cotillon, Résolution, Feu d'artifice, Champagne, Minuit, Réveillon
Anniversaire | Bougie, Gâteau d'anniversaire, Cadeau, Ballon, Invitation, Surprise, Chapeau de fête, Piñata, Carte de vœux
Pâques | Cloche, Œuf en chocolat, Chasse aux œufs, Panier, Lapin de Pâques, Poule en chocolat, Cocotte
Université | Amphithéâtre, Partiel, Mémoire, Thèse, Stage, Campus, Crédits, Doctorat, Licence, Master, Rattrapage, Cité universitaire
Travail | Réunion, Pause café, Télétravail, Congé, Entretien annuel, Promotion, Démission, Heures supplémentaires, Pointeuse, Prime, Syndicat, Préavis
Politique | Élection, Vote, Urne, Bulletin, Campagne, Sondage, Débat, Mandat, Majorité, Opposition, Discours, Meeting
Arbitrage | Carton jaune, Carton rouge, Penalty, Hors-jeu, Coup franc, Corner, Touche, Prolongation, Tirs au but, Sifflet, Chronomètre, Feuille de match
Équipement sportif | Ballon, Raquette, Filet, But, Panier de basket, Maillot, Crampons, Protège-tibias, Gourde, Sifflet, Brassard, Tapis de sol
Fitness | Haltère, Tapis de course, Vélo elliptique, Rameur, Banc de musculation, Kettlebell, Élastique, Corde à sauter, Barre de traction, Step
Sports mécaniques | Formule 1, Rallye, MotoGP, Karting, Motocross, Endurance, Drift, Stock-car, Trial
Cyclisme | Tour de France, Maillot jaune, Peloton, Échappée, Contre-la-montre, Étape, Col, Sprint, Dossard, Ravitaillement
Jeux Olympiques | Médaille d'or, Flamme olympique, Podium, Anneaux, Cérémonie d'ouverture, Village olympique, Relais de la flamme, Hymne, Record du monde
Jeux de cartes | Belote, Tarot, Poker, Rami, Bataille, Solitaire, Président, Menteur, Huit américain, Réussite, Black-jack
Cartes à jouer | As, Roi, Dame, Valet, Trèfle, Carreau, Pique, Joker, Atout, Paire, Quinte, Brelan
Casino | Roulette, Machine à sous, Jetons, Croupier, Mise, Tapis vert, Jackpot, Bandit manchot, Dés, Cave
Jeux de société | Loup-garou, Time's Up, Pictionary, Dixit, Catan, Carcassonne, Jungle Speed, Awalé, Petits chevaux, Bonne paye
Casse-tête | Mots croisés, Sudoku, Mots fléchés, Rébus, Charade, Anagramme, Mots mêlés, Énigme, Labyrinthe, Rubik's cube
Compositeurs | Mozart, Beethoven, Bach, Chopin, Vivaldi, Verdi, Debussy, Tchaïkovski, Schubert, Haydn, Ravel, Wagner
Peintres | Picasso, Van Gogh, Monet, Dalí, Michel-Ange, Léonard de Vinci, Renoir, Matisse, Rembrandt, Cézanne, Klimt, Magritte
Écrivains | Victor Hugo, Molière, Zola, Camus, Balzac, Baudelaire, Proust, Voltaire, Rousseau, Flaubert, Verne, Maupassant
Scientifiques | Einstein, Newton, Marie Curie, Darwin, Galilée, Pasteur, Archimède, Tesla, Copernic, Mendeleïev
Personnages historiques | Napoléon, Jeanne d'Arc, Jules César, Cléopâtre, Louis XIV, De Gaulle, Charlemagne, Vercingétorix, Christophe Colomb, Gandhi
Inventions | Roue, Imprimerie, Ampoule, Téléphone, Internet, Vaccin, Boussole, Moteur à vapeur, Photographie, Réfrigérateur, Avion, Radio
Époques | Préhistoire, Antiquité, Moyen Âge, Renaissance, Révolution française, Belle Époque, Années folles, Années 80, Siècle des Lumières
Signes astrologiques | Bélier, Taureau, Gémeaux, Cancer, Lion, Vierge, Balance, Scorpion, Sagittaire, Capricorne, Verseau, Poissons
Régions françaises | Bretagne, Normandie, Provence, Alsace, Corse, Auvergne, Savoie, Occitanie, Bourgogne, Picardie, Aquitaine, Camargue
Vins | Bordeaux, Bourgogne, Beaujolais, Côtes du Rhône, Chablis, Sancerre, Muscadet, Chianti, Rioja, Riesling
Outre-mer | Guadeloupe, Martinique, La Réunion, Guyane, Tahiti, Nouvelle-Calédonie, Mayotte, Saint-Pierre-et-Miquelon
Marine | Ancre, Gouvernail, Mât, Hublot, Cabine, Hélice, Quille, Proue, Poupe, Cordage, Écoutille, Sextant
Aviation | Cockpit, Aile, Réacteur, Train d'atterrissage, Fuselage, Radar, Aileron, Boîte noire, Pilote automatique, Carlingue
Ferroviaire | Rail, Aiguillage, Passage à niveau, Wagon-lit, Composteur, Voie, Signal, Caténaire, Ballast, Autorail
Chantier | Échafaudage, Bétonnière, Pelleteuse, Marteau-piqueur, Gravats, Palette, Truelle, Niveau à bulle, Bâche, Ciment
Bâtiments de ferme | Grange, Étable, Silo, Écurie, Bergerie, Hangar, Serre, Puits, Abreuvoir, Meule de foin
Apiculture | Miel, Cire, Propolis, Gelée royale, Ruche, Essaim, Enfumoir, Reine, Alvéole, Butineuse
Météo instruments | Baromètre, Girouette, Anémomètre, Pluviomètre, Hygromètre, Station météo, Manche à air, Sonde
Géologie | Cratère, Lave, Magma, Faille, Strate, Fossile, Tectonique, Sédiment, Éboulis, Stalactite, Stalagmite
Internet | Forum, Blog, Commentaire, Like, Partage, Abonné, Notification, Hashtag, Fil d'actualité, Troll, Modérateur, Bannissement
Streaming | Stream, Abonnement, Donation, Chat en direct, Raid, Clip, Émote, Rediffusion, Overlay, Alerte, Viewers
Cybersécurité | Antivirus, Hameçonnage, Piratage, Authentification, Sauvegarde, Chiffrement, Rançongiciel, Faille, Cheval de Troie, Double authentification
Technologies | Intelligence artificielle, Chatbot, Réalité virtuelle, Voiture autonome, Imprimante 3D, Objet connecté, Blockchain, Reconnaissance faciale, Assistant vocal
Jeux vidéo célèbres | Minecraft, Fortnite, Zelda, Mario, Pokémon, Tetris, Among Us, Pac-Man, Sonic, Candy Crush, Sims, Angry Birds
Métiers du numérique | Développeur, Designer, Community manager, Streamer, Youtubeur, Testeur de jeux, Chef de projet, Administrateur réseau, Data analyst
Métiers de la musique | Guitariste, Batteur, Bassiste, DJ, Chef d'orchestre, Choriste, Ingénieur du son, Parolier, Luthier, Accordeur
Magie | Tour de cartes, Lapin dans le chapeau, Disparition, Lévitation, Boîte à double fond, Prestidigitateur, Foulard, Colombe, Anneaux chinois
Sommeil | Matelas, Réveil, Veilleuse, Boules Quiès, Masque de nuit, Berceuse, Grasse matinée, Oreiller, Somnifère
Bricolage | Cheville, Vis, Clou, Écrou, Boulon, Rondelle, Charnière, Équerre, Mastic, Silicone, Papier de verre, Enduit
Peinture en bâtiment | Rouleau, Pinceau plat, Bâche de protection, Ruban de masquage, Sous-couche, Lasure, Décapant, Nuancier, Pot de peinture
Électricité | Prise, Interrupteur, Disjoncteur, Ampoule, Câble, Rallonge, Compteur, Fusible, Tableau électrique, Multiprise
Plomberie | Robinet, Tuyau, Siphon, Joint, Chasse d'eau, Chauffe-eau, Évier, Douchette, Ventouse, Mitigeur
Chauffage | Radiateur, Poêle à bois, Cheminée, Chaudière, Climatisation, Ventilateur, Thermostat, Bouillotte, Plancher chauffant
Salle de bain | Baignoire, Douche, Lavabo, Toilettes, Bidet, Porte-serviette, Tapis de bain, Rideau de douche, Armoire à pharmacie
Vaisselle | Assiette plate, Assiette creuse, Saladier, Plat à four, Ramequin, Théière, Cafetière, Sucrier, Beurrier, Carafe
Petit-déjeuner | Bol, Tartine, Confiture, Jus, Croissant, Café au lait, Brioche, Œuf à la coque, Viennoiserie, Compote
Pique-nique | Nappe à carreaux, Panier, Glacière, Sandwich, Thermos, Serviette en papier, Couverts jetables, Parasol, Fourmis
Barbecue | Grille, Charbon, Allume-feu, Brochette, Merguez, Pince, Tablier, Marinade, Braises, Papillote
Apéritif | Cacahuètes, Chips, Olives, Saucisson, Toast, Verrine, Tapenade, Cake salé, Cocktail, Glaçons
Restaurant du monde | Bistrot, Trattoria, Izakaya, Taverne, Cantine, Food truck, Buffet, Rôtisserie, Crêperie, Pizzeria
Desserts glacés | Cornet, Coupe glacée, Banana split, Vacherin, Bûche glacée, Sorbet, Parfait, Tiramisu glacé
Boulangerie | Pétrin, Four à pain, Levain, Pelle à pain, Baguette tradition, Pain complet, Pain aux céréales, Fournil, Croûte, Mie
Fruits secs | Raisin sec, Abricot sec, Pruneau, Datte, Figue séchée, Banane séchée, Cranberry, Mangue séchée
Condiments | Cornichon, Câpre, Olive, Oignon confit, Citron confit, Pickles, Chutney, Wasabi, Raifort
Viennoiseries | Croissant, Pain aux raisins, Chausson, Brioche suisse, Torsade, Chouquette, Kouign-amann, Palmier
Herboristerie | Camomille, Verveine, Tilleul, Menthe poivrée, Valériane, Romarin, Sauge, Eucalyptus, Gingembre, Curcuma
Fromages du monde | Gouda, Manchego, Pecorino, Halloumi, Stilton, Gorgonzola, Raclette, Munster, Tomme, Saint-Nectaire
Charcuterie | Andouille, Terrine, Mortadelle, Coppa, Jambon cru, Lardon, Saucisse sèche, Galantine, Museau
Poissonnerie | Bar, Dorade, Sole, Maquereau, Cabillaud, Lotte, Turbot, Rouget, Colin, Hareng
Coquillages | Moule, Huître, Coquille Saint-Jacques, Palourde, Bulot, Bigorneau, Praire, Couteau, Ormeau
Boissons chaudes du monde | Thé vert, Thé noir, Rooibos, Maté, Chaï, Matcha, Café turc, Ristretto, Irish coffee
Sirops | Grenadine, Menthe, Fraise, Citron, Orgeat, Anis, Cassis, Pêche, Violette
